2026-08-16 04:14:16 | INFO     | app.services.prediction_history_service | prediction_history_service.py:361 | Administrative prediction history retrieval started: user_id=None page=1 page_size=10 filtered=False
2026-08-16 04:14:16 | INFO     | app.services.prediction_history_service | prediction_history_service.py:382 | Administrative prediction history retrieval completed: user_id=None record_count=2 total_records=2 total_pages=1
2026-08-16 04:14:16 | INFO     | app.services.prediction_history_service | prediction_history_service.py:361 | Administrative prediction history retrieval started: user_id=user-a page=1 page_size=10 filtered=False
2026-08-16 04:14:16 | INFO     | app.services.prediction_history_service | prediction_history_service.py:382 | Administrative prediction history retrieval completed: user_id=user-a record_count=1 total_records=1 total_pages=1
2026-08-16 04:14:16 | INFO     | app.services.prediction_history_service | prediction_history_service.py:361 | Administrative prediction history retrieval started: user_id=None page=1 page_size=10 filtered=True
2026-08-16 04:14:16 | INFO     | app.services.prediction_history_service | prediction_history_service.py:382 | Administrative prediction history retrieval completed: user_id=None record_count=1 total_records=1 total_pages=1
2026-08-16 04:14:16 | INFO     | app.services.prediction_history_service | prediction_history_service.py:361 | Administrative prediction history retrieval started: user_id=None page=1 page_size=2 filtered=False
2026-08-16 04:14:16 | INFO     | app.services.prediction_history_service | prediction_history_service.py:382 | Administrative prediction history retrieval completed: user_id=None record_count=2 total_records=5 total_pages=3
2026-08-16 04:14:16 | INFO     | app.services.prediction_history_service | prediction_history_service.py:409 | Administrative prediction history detail retrieval started: history_id=hist-1
2026-08-16 04:14:16 | INFO     | app.services.prediction_history_service | prediction_history_service.py:416 | Administrative prediction history detail retrieval completed: history_id=hist-1 found=True
2026-08-16 04:14:16 | INFO     | app.services.prediction_history_service | prediction_history_service.py:409 | Administrative prediction history detail retrieval started: history_id=does-not-exist
2026-08-16 04:14:16 | INFO     | app.services.prediction_history_service | prediction_history_service.py:416 | Administrative prediction history detail retrieval completed: history_id=does-not-exist found=False
2026-08-16 04:14:16 | INFO     | app.services.admin_system_service | admin_system_service.py:49 | Admin system status generated: database_connected=True
2026-08-16 04:14:16 | INFO     | app.services.admin_system_service | admin_system_service.py:49 | Admin system status generated: database_connected=False
2026-08-16 04:14:16 | INFO     | app.services.admin_user_service | admin_user_service.py:68 | Admin user list retrieval started: page=1 page_size=2
2026-08-16 04:14:16 | INFO     | app.services.admin_user_service | admin_user_service.py:82 | Admin user list retrieval completed: record_count=2 total_records=5
2026-08-16 04:14:16 | INFO     | app.services.admin_user_service | admin_user_service.py:112 | Admin user activation completed: user_id=7992c498-3fae-4a95-9196-62ba07e3480b
2026-08-16 04:14:16 | INFO     | app.services.admin_user_service | admin_user_service.py:148 | Admin user deactivation completed: user_id=73af2cf2-d3ec-4536-b4ef-af5472bce9da
2026-08-16 04:14:16 | INFO     | app.services.admin_user_service | admin_user_service.py:148 | Admin user deactivation completed: user_id=80cdb389-64b9-429d-9095-efc43420dc5f
